PG mapping,wi,si,sm,sf,wf,consistency,wi_consistency,si_consistency,sm_consistency,sf_consistency,wf_consistency
i-ey,0,0,1,1,10,0.009813516153792478,0,0,0.006535947712418301,0.006944444444444444,0.03558718861209965
i-i,0,1,1,24,6,0.06748241408069752,0,0.14285714285714285,0.006535947712418301,0.16666666666666666,0.021352313167259787
i-i_e,0,1,6,0,0,0.03641456582633053,0,0.14285714285714285,0.0392156862745098,0,0
i-ie,0,1,14,1,11,0.056090152549750624,0,0.14285714285714285,0.0915032679738562,0.006944444444444444,0.03914590747330961
i-ie_e,0,0,3,0,0,0.00392156862745098,0,0,0.0196078431372549,0,0
i-is,0,0,0,0,0,0,0,0,0,0,0
i-oe,0,0,0,0,0,0,0,0,0,0,0
i-y,0,4,0,20,228,0.30434107213466643,0,0.5714285714285714,0,0.1388888888888889,0.8113879003558719
j-i,0,0,4,0,0,0.11428571428571428,0,0,0.5714285714285714,0,0
j-ill,0,0,0,0,0,0,0,0,0,0,0
j-j,0,0,0,0,0,0,0,0,0,0,0
j-ll,0,0,0,0,0,0,0,0,0,0,0
j-y,22,4,3,0,0,0.48571428571428565,1,1,0.42857142857142855,0,0
ju-eau,0,0,0,2,0,0.04444444444444444,0,0,0,0.2222222222222222,0
ju-eu,0,0,0,0,0,0,0,0,0,0,0
ju-eue,0,0,0,0,0,0,0,0,0,0,0
ju-ew,0,0,0,0,2,0.08,0,0,0,0,0.4
ju-ewe,0,0,0,0,0,0,0,0,0,0,0
ju-hu,1,0,0,0,0,0.02222222222222222,0.1111111111111111,0,0,0,0
ju-ou,0,0,0,0,0,0,0,0,0,0,0
ju-u,4,0,0,7,1,0.28444444444444444,0.4444444444444444,0,0,0.7777777777777778,0.2
ju-u_e,4,0,5,0,0,0.28888888888888886,0.4444444444444444,0,1,0,0
ju-ua,0,0,0,0,0,0,0,0,0,0,0
ju-ue,0,0,0,0,2,0.08,0,0,0,0,0.4
ju-ugh,0,0,0,0,0,0,0,0,0,0,0
ju-ui,0,0,0,0,0,0,0,0,0,0,0
ju-ut,0,0,0,0,0,0,0,0,0,0,0
ju-uu,0,0,0,0,0,0,0,0,0,0,0
jə-u,0,0,0,4,0,0.2,0,0,0,1,0
jə-ua,0,0,0,0,0,0,0,0,0,0,0
jɚ-u,0,0,0,0,0,0,0,0,0,0,0
jɚ-u_e,0,0,0,0,0,0,0,0,0,0,0
jʊ-eu,0,0,0,0,0,0,0,0,0,0,0
jʊ-u,0,0,0,1,0,0.2,0,0,0,1,0
jʊ-u_e,0,0,0,0,0,0,0,0,0,0,0
k-c,217,83,36,23,12,0.45677546259128665,0.8509803921568627,0.43455497382198954,0.46153846153846156,0.46938775510204084,0.06741573033707865
k-cc,0,5,0,0,0,0.005235602094240838,0,0.02617801047120419,0,0,0
k-cch,0,1,0,0,0,0.0010471204188481676,0,0.005235602094240838,0,0,0
k-ch,1,1,8,0,5,0.027962232185248764,0.00392156862745098,0.005235602094240838,0.10256410256410256,0,0.028089887640449437
k-ck,0,42,2,10,52,0.14835055554257526,0,0.2198952879581152,0.02564102564102564,0.20408163265306123,0.29213483146067415
k-cq,0,0,0,0,0,0,0,0,0,0,0
k-k,28,54,22,12,101,0.29737828124593335,0.10980392156862745,0.28272251308900526,0.28205128205128205,0.24489795918367346,0.5674157303370787
k-kh,0,0,0,0,0,0,0,0,0,0,0
k-kk,0,0,0,0,0,0,0,0,0,0,0
k-lk,0,1,0,0,7,0.00891228895817401,0,0.005235602094240838,0,0,0.03932584269662921
k-q,9,4,9,0,0,0.034324228281727515,0.03529411764705882,0.020942408376963352,0.11538461538461539,0,0
k-qu,0,0,1,0,1,0.0036876980697205415,0,0,0.01282051282051282,0,0.0056179775280898875
k-x,0,0,0,4,0,0.016326530612244896,0,0,0,0.08163265306122448,0
ks-x,0,0,4,9,12,0.6,0,0,1,1,1
kʃ-x,0,0,0,0,0,0,0,0,0,0,0
kʃ-xi,0,0,0,0,0,0,0,0,0,0,0
l-l,143,134,278,55,240,0.8813006926871493,1,0.7165775401069518,0.9893238434163701,0.873015873015873,0.8275862068965517
l-ll,0,52,3,8,50,0.11762978859627311,0,0.27807486631016043,0.010676156583629894,0.12698412698412698,0.1724137931034483
l-sl,0,1,0,0,0,0.0010695187165775401,0,0.0053475935828877,0,0,0
m-gm,0,0,0,0,0,0,0,0,0,0,0
m-lm,0,0,0,0,2,0.00380952380952381,0,0,0,0,0.01904761904761905
m-m,157,99,42,48,95,0.9561736198904341,1,0.8761061946902655,1,1,0.9047619047619048
m-mb,0,0,0,0,6,0.011428571428571429,0,0,0,0,0.05714285714285714
m-mm,0,14,0,0,0,0.024778761061946902,0,0.12389380530973451,0,0,0
m-mn,0,0,0,0,2,0.00380952380952381,0,0,0,0,0.01904761904761905
m-thm,0,0,0,0,0,0,0,0,0,0,0
n-dn,0,0,0,0,0,0,0,0,0,0,0
n-gn,0,0,0,1,1,0.0019554779572239197,0,0,0,0.006329113924050633,0.0034482758620689655
n-kn,14,1,0,0,0,0.033360378634212304,0.16091954022988506,0.0058823529411764705,0,0,0
